caso,variable,norma,orden_teorico,orden_observado,desviacion,coincide,error_gruesa,error_fina,monotono
transporte_central,T,L1,2.0,1.9927178417117748,-0.0072821582882252045,True,0.09520115988371067,0.013477486969544239,True
transporte_central,T,L2,2.0,1.989728005425548,-0.010271994574452048,True,0.12927031916609635,0.01836602132400762,True
transporte_central,T,Linf,2.0,1.9597806591906062,-0.04021934080939382,True,0.35432569168912487,0.05143216597946498,True
transporte_central,c,L1,2.0,1.9927178417117737,-0.007282158288226315,True,0.000571206959302264,8.086492181726547e-05,True
transporte_central,c,L2,2.0,1.9897280054255515,-0.010271994574448495,True,0.0007756219149965782,0.00011019612794404577,True
transporte_central,c,Linf,2.0,1.959780659190606,-0.040219340809394044,True,0.0021259541501347477,0.00030859299587679065,True
momentum_sin_adveccion,u,L1,2.0,2.010870266061306,0.010870266061306033,True,0.0037321295836898628,0.0005208708392106803,True
momentum_sin_adveccion,u,L2,2.0,1.9890409750820321,-0.010959024917967852,True,0.005273605106461032,0.0007497591928847077,True
momentum_sin_adveccion,u,Linf,2.0,1.9078189153874554,-0.0921810846125446,True,0.016473270535980654,0.0025399547325040753,True
momentum_sin_adveccion,v,L1,2.0,2.010870266061306,0.010870266061306033,True,0.003732129583689863,0.0005208708392106805,True
momentum_sin_adveccion,v,L2,2.0,1.989040975082034,-0.010959024917966076,True,0.005273605106461031,0.000749759192884707,True
momentum_sin_adveccion,v,Linf,2.0,1.9078189153874956,-0.0921810846125044,True,0.016473270535980654,0.0025399547325039643,True
momentum_sin_adveccion,w,L1,2.0,2.010870266061308,0.01087026606130781,True,0.003732129583689862,0.0005208708392106799,True
momentum_sin_adveccion,w,L2,2.0,1.989040975082034,-0.010959024917966076,True,0.005273605106461031,0.0007497591928847063,True
momentum_sin_adveccion,w,Linf,2.0,1.9078189153874494,-0.09218108461255059,True,0.016473270535980654,0.0025399547325040753,True
momentum_sin_adveccion,P,L1,2.0,2.0414245726774043,0.04142457267740429,True,0.00028863867766834285,3.89451905411055e-05,True
momentum_sin_adveccion,P,L2,2.0,2.0118517693068547,0.01185176930685472,True,0.0003821659374025173,5.3109825030736684e-05,True
momentum_sin_adveccion,P,Linf,2.0,1.9222262384473878,-0.07777376155261218,True,0.0009741555371306568,0.0001480576904981032,True
momentum_upwind,u,L1,1.0,1.0662759847093404,0.06627598470934037,True,0.005439699966202895,0.0019063493851562117,True
momentum_upwind,u,L2,1.0,0.996886017720928,-0.003113982279072003,True,0.0076702939067683825,0.002878074634793937,True
momentum_upwind,u,Linf,1.0,0.8922230127342443,-0.10777698726575569,True,0.02301304661798563,0.009595775261138036,True
momentum_upwind,v,L1,1.0,1.0662759847093404,0.06627598470934037,True,0.005439699966202895,0.0019063493851562109,True
momentum_upwind,v,L2,1.0,0.9968860177209276,-0.003113982279072447,True,0.007670293906768382,0.0028780746347939375,True
momentum_upwind,v,Linf,1.0,0.8922230127342446,-0.10777698726575535,True,0.023013046617985602,0.009595775261138036,True
momentum_upwind,w,L1,1.0,1.0662759847093404,0.06627598470934037,True,0.005439699966202895,0.0019063493851562106,True
momentum_upwind,w,L2,1.0,0.9968860177209286,-0.0031139822790714478,True,0.0076702939067683825,0.002878074634793937,True
momentum_upwind,w,Linf,1.0,0.8922230127342562,-0.1077769872657438,True,0.023013046617985616,0.009595775261137925,True
